OrderID,OrderDate,CustomerID,ProductID,StoreID,SalesChannel,Quantity,UnitPrice,DiscountPercent
100072,4/26/2025,99,21,9,Store,4,5708,0.06
100073,3/8/2023,75,15,8,Store,4,1348,0.29
100074,7/23/2023,94,28,4,Online,1,6806,0.23
100075,2/19/2026,31,17,4,Store,5,4981,0.23
100076,4/27/2024,73,25,12,Store,5,5761,0.29
100077,12/4/2024,87,24,9,Store,4,3563,0.06
100078,1/10/2026,83,11,12,Online,4,4149,0.07
100079,5/14/2023,26,24,9,Online,1,4306,0.06
100080,3/19/2024,50,3,4,Store,4,4798,0.26
100081,2/20/2023,112,25,7,Online,3,1502,0.05
100082,3/12/2026,84,21,2,Store,2,4720,0.29
100083,2/18/2026,49,10,5,Online,5,6438,0.02
100084,5/30/2025,118,35,7,Online,1,2322,0.26
100085,2/12/2025,65,10,4,Store,5,3744,0.26
100086,5/31/2025,37,13,3,Store,2,5659,0.28
100087,5/5/2023,47,25,3,Store,2,1790,0.22
100088,5/5/2023,107,1,3,Online,4,7449,0.28
100089,1/23/2023,96,3,11,Online,3,4680,0.19
100090,1/24/2024,6,11,2,Store,2,1618,0.17
100091,7/17/2024,48,6,4,Online,5,1879,0.11
100092,6/25/2025,1,18,10,Online,1,1152,0.13
100093,11/6/2025,88,15,3,Online,5,6746,0.15
100094,4/25/2024,58,3,9,Online,5,3297,0.27
100095,9/19/2024,58,30,1,Store,3,2574,0.29
100096,10/21/2024,60,5,6,Store,2,661,0.13
100097,2/25/2025,41,25,1,Store,3,1397,0.02
100098,7/29/2025,10,16,4,Store,4,2465,0.04
100099,12/23/2024,4,16,8,Online,2,6028,0.29
100100,10/21/2025,59,32,12,Store,3,2062,0.08
100101,10/14/2025,112,5,7,Online,1,2314,0.01
100102,12/5/2025,39,35,10,Online,1,4522,0.12
100103,10/5/2023,101,25,4,Store,1,7198,0.01
100104,2/23/2025,8,24,6,Online,1,5086,0.07
100105,6/24/2023,5,38,2,Online,4,4662,0.29
100106,4/11/2024,54,1,2,Online,1,744,0.01
100107,10/4/2025,42,14,1,Store,2,3375,0.11
100108,10/10/2025,68,36,6,Online,3,4135,0.06
100109,8/24/2024,111,31,10,Online,2,1340,0.23
100110,8/23/2024,51,36,2,Store,5,5162,0.29
100111,7/5/2024,23,8,11,Online,4,687,0.1
100112,9/1/2025,119,38,10,Store,3,4108,0.13
100113,11/29/2025,35,7,4,Store,1,5705,0.23
100114,3/11/2024,7,35,2,Store,5,1392,0.25
100115,1/23/2025,2,12,8,Store,1,2300,0.24
100116,2/9/2025,79,31,12,Online,2,5408,0.14
100117,5/17/2024,68,35,6,Online,5,4373,0.01
100118,7/29/2023,117,37,5,Store,5,1176,0.18
100119,11/27/2024,23,12,4,Online,5,6824,0.14
100120,10/3/2024,76,29,3,Store,1,5725,0.04
100121,5/9/2024,25,38,1,Online,4,1702,0.25
100122,8/31/2023,22,10,6,Online,4,1609,0.3
100123,11/20/2025,94,8,6,Online,1,4446,0.23
100124,11/26/2023,115,4,9,Store,4,1896,0.19
100125,1/22/2025,24,31,7,Store,5,2950,0.25
100126,4/16/2025,74,29,9,Store,3,7027,0.24
100127,10/29/2023,111,1,8,Online,1,3348,0.1
100128,9/4/2024,66,31,3,Online,5,3718,0.21
100129,3/22/2023,8,27,1,Store,3,1721,0.03
100130,12/29/2025,33,36,2,Store,4,3390,0.12
100131,11/10/2024,52,35,4,Online,4,4396,0.24
100132,8/7/2023,40,25,2,Store,5,7303,0.01
100133,12/19/2023,3,26,12,Online,4,614,0.13
100134,3/26/2025,15,19,10,Online,1,2080,0.11
100135,6/26/2025,107,36,5,Online,3,3530,0.17
100136,5/15/2025,118,32,7,Store,1,4182,0.03
100137,3/16/2025,9,40,11,Store,1,5895,0.24
100138,11/7/2023,57,11,1,Online,3,6567,0.12
100139,7/11/2025,10,22,11,Store,4,6607,0.23
100140,9/7/2025,84,5,5,Online,5,3425,0.13
100141,2/19/2026,65,32,12,Online,5,680,0.24
100142,4/30/2025,84,20,2,Store,2,4582,0.16
100143,4/23/2023,19,6,7,Online,3,5961,
100144,10/3/2024,16,38,12,Online,4,647,0.21
100145,4/22/2025,75,36,9,Store,2,2672,0.24
100146,10/20/2025,11,31,12,Store,3,1045,0.17
100147,7/22/2023,69,21,3,Store,1,4917,0.11
100148,7/14/2024,90,36,4,Store,5,2019,0.12
100149,10/23/2025,103,16,7,Store,1,4988,0.09
100150,9/26/2025,71,33,12,Store,1,925,0.1
100151,6/9/2023,9,7,9,Store,5,5441,0.1
100152,3/9/2024,8,34,10,Online,1,4462,0.26
100153,11/16/2024,15,15,6,Store,3,601,0.18
100154,1/31/2025,90,30,1,Online,4,7480,0.17
100155,6/21/2025,97,34,7,Online,5,3094,0.05
100156,10/24/2024,37,4,3,Online,5,1000,0.04
100157,7/2/2025,5,26,2,Store,1,2094,0.25
100158,6/27/2024,77,34,10,Online,1,6855,0.12
100159,10/18/2025,62,11,3,Store,4,5285,0.29
100160,11/11/2023,20,5,3,Online,3,5164,0.03
100161,2/27/2024,86,36,7,Store,1,4530,0.14
100162,4/16/2026,45,11,11,Online,5,3421,0.23
100163,1/20/2025,113,38,12,Store,3,5629,0.1
100164,1/20/2024,100,8,7,Online,4,1552,0.18
100165,3/10/2025,86,20,8,Online,5,4927,0.17
100166,3/2/2025,52,2,11,Online,4,4909,0.1
100167,10/28/2025,21,4,2,Store,5,3803,0.27
100168,3/28/2026,106,5,9,Online,1,1569,0.09
100169,4/28/2024,70,33,5,Store,4,2482,0.28
100170,9/8/2023,110,22,10,Store,3,2980,0.24
100171,8/2/2025,98,24,1,Store,4,1538,0.14
100172,2/9/2024,45,7,9,Store,3,6889,0.29
100173,7/12/2023,62,1,3,Store,4,2849,0.11
100174,4/7/2025,6,21,5,Store,4,7399,0.24
100175,7/18/2023,6,36,9,Store,4,5276,0.22
100176,6/12/2023,48,27,8,Store,1,6710,0.06
100177,8/12/2024,95,18,11,Store,5,1206,0.18
100178,1/1/2024,1,5,3,Store,5,1067,0.05
100179,11/18/2025,11,30,11,Store,1,3643,0.22
100180,10/14/2025,87,39,7,Store,5,4700,0.26
100181,10/31/2023,5,4,4,Store,3,7002,0.25
100182,5/29/2023,31,7,12,Store,3,6944,0.21
100183,9/9/2025,119,3,6,Store,2,6445,0.04
100184,3/29/2023,98,36,5,Store,2,6053,0.16
100185,6/10/2024,47,8,3,Store,5,1698,0.25
100186,3/15/2026,59,14,7,Online,4,1667,0.12
100187,5/16/2023,8,40,11,Online,2,3688,0.08
100188,11/14/2023,90,40,10,Online,2,6770,
100189,11/24/2023,50,28,1,Store,5,6621,0.04
100190,2/5/2023,33,22,7,Online,3,3413,0.23
100191,3/24/2024,86,35,7,Online,1,1549,0.26
100192,2/10/2024,120,35,1,Store,3,3234,0.15
100193,3/28/2026,18,24,12,Online,5,6893,0.06
100194,1/2/2026,33,26,9,Online,2,1819,0.26
100195,11/28/2024,67,3,4,Store,1,4027,0.11
100196,5/30/2025,55,14,1,Store,2,5725,0.16
100197,5/18/2023,12,13,3,Online,3,7185,0.28
100198,10/3/2024,56,6,9,Store,3,4348,0.29
100199,7/5/2025,99,3,3,Store,5,6892,0.28
100200,1/17/2023,80,28,6,Online,4,7158,0.06
100201,10/17/2024,50,28,9,Store,4,5898,0.06
100202,5/9/2024,119,20,8,Store,5,3945,0.09
100203,9/25/2024,96,13,11,Store,5,6826,0.05
100204,11/25/2025,86,26,8,Store,3,2529,
100205,8/20/2025,18,32,1,Online,1,4700,0.21
100206,11/9/2025,120,1,11,Store,5,6864,0.01
100207,12/29/2025,17,21,6,Online,1,4696,0.02
100208,11/21/2025,112,21,8,Online,3,1000,0.22
100209,4/11/2025,38,28,5,Online,3,4113,0.19
100210,8/18/2025,21,18,8,Store,5,2609,0.28
100211,11/11/2025,64,34,3,Store,3,3725,0.27
100212,1/2/2023,75,9,4,Store,2,6976,0.21
100213,6/13/2023,49,30,10,Store,4,1100,0.19
100214,5/19/2023,75,17,11,Online,3,4026,0.09
100215,9/26/2024,71,16,7,Online,5,6234,0.02
100216,10/27/2025,2,30,1,Online,1,862,0.23
100217,4/13/2026,111,19,7,Store,3,5503,0.16
100218,4/5/2025,50,9,3,Online,3,682,0.21
100219,9/21/2024,84,3,11,Store,3,6831,
100220,5/28/2025,89,1,5,Store,2,5932,0.12
100221,6/3/2024,87,25,6,Online,1,2141,0.22
100222,11/16/2023,88,5,8,Online,1,7059,0.18
100223,8/10/2023,110,26,4,Online,4,4073,0.17
100224,7/15/2025,53,9,12,Online,4,3861,0.22
100225,4/17/2023,6,26,4,Online,4,6624,0.26
100226,4/12/2026,39,15,2,Store,2,6615,0.05
100227,12/4/2025,16,26,9,Online,3,1805,0.06
100228,12/13/2024,96,39,3,Store,3,3130,0.13
100229,8/10/2025,84,29,7,Online,1,5278,0.01
100230,6/27/2024,4,29,11,Store,5,2762,0.24
100231,5/24/2025,13,19,5,Store,3,7357,0.16
100232,3/30/2023,112,34,9,Online,1,2562,0.17
100233,7/23/2024,77,10,5,Online,4,5962,0.1
100234,9/22/2025,5,9,7,Store,3,2502,0.03
100235,12/2/2023,108,9,1,Store,5,6257,0.19
100236,1/3/2026,49,31,2,Store,3,6069,0.22
100237,8/23/2023,44,23,9,Online,5,4558,0.28
100238,11/1/2023,85,28,3,Online,2,7474,0.03
100239,4/20/2024,18,13,8,Online,3,1866,0.02
100240,2/19/2023,72,5,1,Online,1,863,0.29
100241,11/19/2025,90,32,12,Online,3,676,0.29
100242,10/29/2025,82,31,1,Store,5,6821,0.27
100243,9/30/2025,44,34,4,Store,4,2651,0.23
100244,3/12/2024,113,3,8,Online,4,3717,0.16
100245,10/1/2025,18,38,4,Online,5,7008,0.06
100246,5/1/2025,83,3,6,Online,4,6535,0.08
100247,8/21/2025,106,29,3,Online,3,1655,0.24
100248,8/19/2023,43,39,12,Store,4,5866,0.18
100249,12/9/2025,27,31,8,Online,2,7288,0.08
100250,5/12/2024,43,32,11,Online,5,6136,0.11
100251,2/23/2024,23,39,10,Online,1,4475,0.14
100252,9/16/2024,13,15,11,Online,5,5983,0.29
100253,12/10/2024,52,24,10,Store,1,3949,0.21
100254,3/22/2023,69,14,10,Store,3,3133,0.02
100255,11/6/2024,82,15,12,Online,2,3262,0.29
100256,6/22/2024,50,11,3,Online,5,6075,0.14
100257,3/5/2024,2,9,11,Store,2,6999,0.22
100258,2/24/2025,64,4,10,Online,4,880,0.24
100259,2/29/2024,8,9,6,Online,1,5250,0.12
100260,1/14/2026,54,31,8,Store,4,6301,0.29
100261,12/9/2024,62,26,1,Store,4,5723,0.03
100262,12/4/2024,27,22,7,Store,5,7040,0.17
100263,2/10/2025,35,12,1,Online,2,3416,0.06
100264,10/8/2024,65,27,6,Online,1,2168,0.12
100265,3/28/2023,52,11,5,Store,2,2152,0.05
100266,8/12/2024,43,39,12,Store,3,4552,0.07
100267,5/1/2025,83,19,11,Store,1,6803,0.26
100268,4/13/2023,50,3,6,Online,4,3938,0.03
100269,2/27/2023,91,18,2,Online,5,3519,0.01
100270,7/28/2023,91,4,3,Online,3,3745,0.21
100271,11/26/2025,105,4,10,Online,2,1937,0.24
100272,1/4/2026,63,30,1,Online,1,789,0.09
100273,7/31/2023,118,32,12,Store,3,3523,0.05
100274,5/16/2025,65,5,11,Online,1,2190,0.1
100275,3/20/2024,56,5,12,Store,5,5632,0.26
100276,5/12/2023,65,10,7,Store,1,802,0.18
100277,5/24/2024,87,23,4,Store,4,2721,0.12
100278,10/27/2024,26,18,10,Store,2,4143,0.14
100279,4/21/2024,51,15,12,Store,5,2236,0.06
100280,10/4/2024,12,16,2,Online,3,6562,0.18
100281,11/4/2024,52,40,10,Store,5,3808,0.27
100282,4/16/2023,65,27,2,Online,3,6939,0.16
100283,4/18/2023,107,13,6,Online,1,3360,0.11
100284,4/11/2025,61,13,2,Online,2,4333,0.07
100285,11/15/2025,80,34,7,Online,3,6473,0.28
100286,9/2/2023,33,5,11,Store,1,5504,0.18
100287,3/20/2025,103,15,6,Store,2,7193,0.01
100288,1/27/2024,22,15,11,Store,1,5021,0.21
100289,3/3/2023,86,9,7,Store,1,674,0.29
100290,3/16/2023,27,15,7,Online,5,2748,0.06
100291,7/24/2024,119,23,10,Online,3,1863,0.17
100292,6/13/2025,87,9,9,Online,2,4685,0.16
100293,8/21/2024,17,33,12,Store,4,4496,0.19
100294,12/9/2023,24,11,9,Store,4,1703,0.12
100295,8/30/2024,117,29,5,Store,5,968,0.15
100296,8/22/2025,32,30,8,Store,1,3384,0.21
100297,7/2/2024,11,24,10,Store,1,7302,0.12
100298,9/29/2023,120,15,12,Online,5,4520,0.02
100299,7/28/2023,69,15,3,Online,1,7071,0.15
100300,4/12/2026,79,35,7,Store,3,4950,0.19
100301,6/17/2024,100,31,7,Online,4,3140,0.14
100302,10/23/2024,83,2,5,Online,4,2086,0.06
100303,11/19/2025,54,24,10,Online,4,2240,0.04
100304,5/31/2024,6,14,7,Online,4,740,0.01
100305,1/2/2024,105,17,12,Online,5,1488,0.19
100306,5/30/2023,61,16,1,Online,4,2110,0.09
100307,11/13/2023,36,13,3,Store,4,7373,0.15
100308,3/24/2025,72,13,6,Store,4,779,0.02
100309,2/19/2023,33,4,1,Online,3,4961,0.24
100310,7/5/2025,62,13,7,Online,5,3875,0.09
100311,4/26/2025,119,19,10,Online,5,5242,0.23
100312,11/19/2023,58,25,1,Online,3,5421,0.03
100313,2/17/2023,55,7,3,Store,1,6517,0.26
100314,6/4/2024,80,9,2,Store,2,4526,0.29
100315,8/6/2024,80,4,11,Store,4,3156,0.25
100316,6/18/2024,64,9,2,Online,3,6132,0.16
100317,4/5/2026,62,1,11,Store,5,862,0.19
100318,2/20/2025,43,36,9,Online,3,5801,0.18
100319,2/20/2025,54,22,5,Online,1,1311,0.19
100320,2/13/2024,90,17,4,Online,1,1244,0.2
100321,2/21/2025,7,34,8,Online,1,5980,0.08
100322,1/9/2026,111,30,10,Online,3,1316,0.27
100323,1/7/2023,44,37,12,Store,2,2410,0.09
100324,11/3/2023,24,9,10,Store,3,3229,0.05
100325,2/8/2023,108,30,11,Online,4,4286,0.25
100326,10/6/2024,22,26,7,Store,1,2766,0.13
100327,3/26/2025,105,34,1,Store,2,4743,0.23
100328,5/9/2024,36,20,12,Store,4,2763,0.03
100329,2/1/2026,103,6,6,Store,4,1706,0.01
100330,2/26/2023,74,15,8,Online,3,1549,0.06
100331,12/2/2025,110,1,7,Store,5,2228,0.12
100332,7/15/2023,46,1,9,Store,4,1286,0.28
100333,11/28/2023,87,13,8,Store,1,682,0.1
100334,1/23/2026,15,36,3,Store,4,5543,0.28
100335,2/25/2024,73,31,1,Store,2,1685,0.14
100336,9/30/2023,104,28,10,Store,3,2311,0.06
100337,3/16/2023,17,27,1,Store,3,1534,0.08
100338,6/18/2023,61,38,11,Store,3,971,0.22
100339,10/4/2024,64,29,9,Store,5,6984,0.05
100340,6/21/2023,119,1,8,Online,2,3787,0.19
100341,6/27/2024,73,12,11,Online,5,6440,0.19
100342,3/11/2023,93,6,4,Store,5,7491,0.14
100343,12/30/2025,54,37,12,Store,2,4005,0.16
100344,3/14/2023,47,33,6,Store,2,2946,0.13
100345,4/25/2024,40,40,7,Online,1,4792,0.22
100346,1/18/2024,77,40,5,Store,2,2320,0.08
100347,10/21/2024,17,21,10,Online,2,2296,0.24
100348,8/20/2023,46,34,10,Online,4,6762,0.29
100349,6/21/2023,10,7,8,Store,1,2541,0.27
100350,1/11/2025,11,21,3,Online,2,1678,0.15
100351,8/14/2025,80,1,7,Online,3,5703,0.23
100352,3/27/2023,26,1,4,Online,2,5724,0.09
100353,4/15/2026,38,26,10,Online,5,2250,0.27
100354,7/18/2024,99,25,11,Store,4,632,0.1
100355,1/15/2024,14,3,3,Online,5,1766,0.15
100356,3/31/2026,6,33,7,Online,2,6457,0.29
100357,1/3/2025,44,29,3,Store,2,1183,0.16
100358,10/12/2024,47,3,11,Store,1,3429,0.11
100359,8/12/2025,30,16,6,Online,5,2659,0.08
100360,1/30/2025,12,6,2,Online,4,999,0.21
100361,8/24/2024,20,35,4,Online,5,872,0.2
100362,8/1/2023,89,36,4,Online,4,1628,0.13
100363,3/1/2025,51,2,2,Store,4,5384,0.07
100364,5/20/2025,108,4,5,Online,3,4897,0.18
100365,1/22/2026,39,34,1,Online,1,6121,0.23
100366,3/27/2023,21,35,12,Online,5,2718,0.25
100367,4/2/2024,35,36,10,Store,1,783,0.19
100368,5/9/2025,94,36,7,Online,2,818,
100369,11/19/2023,92,13,7,Online,4,4850,0.1
100370,8/22/2024,50,23,2,Store,1,2914,0.26
100371,3/4/2023,92,22,5,Online,4,3258,0.22
100372,6/5/2025,64,26,7,Online,1,3654,0.16
100373,4/4/2024,24,7,7,Online,5,7467,0.05
100374,5/17/2025,82,32,4,Store,5,3402,0.09
100375,5/9/2024,89,10,4,Store,2,4332,0.27
100376,10/2/2023,43,2,9,Store,2,6298,0.2
100377,3/10/2025,15,32,1,Store,4,3704,0.24
100378,1/6/2025,73,12,3,Store,5,3524,0.16
100379,3/21/2023,105,4,7,Online,5,3806,0.23
100380,5/23/2024,39,4,1,Store,3,1599,0.18
100381,9/10/2024,14,5,8,Online,1,3111,0.06
100382,7/21/2025,67,8,10,Store,4,6852,0.04
100383,3/9/2025,8,24,10,Online,2,2152,0.11
100384,2/4/2024,83,14,10,Store,4,6986,0.14
100385,10/18/2024,116,34,7,Store,2,7465,0.02
100386,11/2/2023,4,37,3,Store,2,1567,0.2
100387,3/30/2026,45,5,5,Online,4,4304,0.22
100388,12/4/2024,66,30,11,Store,2,3838,0.29
100389,6/7/2023,53,3,5,Online,4,6966,0.04
100390,11/6/2024,114,29,11,Online,1,3705,0.14
100391,4/11/2024,40,20,8,Online,3,2704,0.05
100392,1/17/2023,120,28,9,Online,5,2489,0.21
100393,3/5/2024,39,23,5,Online,5,1926,0.27
100394,3/19/2026,73,17,2,Store,1,4662,0.21
100395,4/1/2026,6,13,9,Store,5,2161,0.21
100396,7/18/2024,116,21,8,Online,4,1088,0.03
100397,1/20/2026,68,15,2,Store,1,4937,0.14
100398,2/19/2026,50,19,4,Store,4,5780,0.22
100399,11/24/2024,111,15,9,Store,3,6945,0.28
100400,11/12/2025,51,34,1,Online,3,5103,0.27
100401,5/23/2024,109,14,1,Store,1,799,0.14
100402,4/2/2023,116,13,1,Online,2,4259,0.25
100403,10/24/2025,40,37,3,Store,2,5570,0.15
100404,7/25/2023,69,12,6,Online,3,4882,0.17
100405,3/28/2026,5,16,1,Store,1,5826,0.2
100406,10/4/2023,116,37,4,Store,3,5974,0.14
100407,12/12/2023,61,4,2,Online,2,1566,0.26
100408,7/15/2023,24,38,2,Online,2,1391,
100409,4/14/2024,120,34,2,Store,2,6735,0.16
100410,5/14/2023,51,38,12,Online,5,4697,0.14
100411,8/14/2023,17,30,8,Store,2,6024,0.14
100412,3/6/2026,1,4,8,Store,4,7304,0.29
100413,8/10/2023,65,27,10,Store,4,3034,0.01
100414,2/20/2025,22,21,10,Online,5,4158,0.11
100415,8/28/2023,25,22,10,Store,3,4019,0.08
100416,10/13/2025,115,11,10,Store,3,5187,0.02
100417,11/1/2023,92,36,2,Store,5,3328,0.03
100418,2/9/2023,21,7,1,Store,5,1811,0.25
100419,4/13/2023,27,23,10,Online,4,4889,0.29
100420,6/8/2024,83,9,9,Store,4,3938,0.28
100421,7/23/2024,71,17,11,Online,5,3710,0.19
100422,11/11/2024,36,39,3,Online,3,6207,0.03
100423,12/25/2025,120,40,3,Online,3,6054,0.28
100424,8/20/2024,68,23,6,Store,1,4071,0.02
100425,2/11/2023,8,29,9,Store,3,4683,0.16
100426,1/21/2024,86,4,11,Online,3,3057,0.22
100427,9/26/2023,9,30,4,Online,4,3776,0.26
100428,3/4/2026,22,21,4,Store,3,2706,0.06
100429,2/21/2026,19,25,8,Store,4,733,0.14
100430,1/30/2024,70,32,3,Online,4,4808,0.22
100431,6/3/2023,46,36,7,Online,3,5983,0.13
100432,6/12/2025,84,21,11,Online,2,7422,0.24
100433,7/29/2023,118,24,5,Store,5,3696,0.16
100434,2/18/2023,89,38,1,Store,5,4203,0.23
100435,11/9/2024,114,26,9,Store,1,3692,
100436,8/10/2023,41,38,7,Store,2,2357,0.05
100437,8/31/2024,77,25,10,Online,4,5087,0.07
100438,10/17/2025,17,26,7,Online,1,5280,0.28
100439,2/22/2026,80,27,9,Online,4,1813,0.06
100440,7/28/2023,77,12,10,Store,1,3971,0.18
100441,7/4/2023,99,15,7,Online,4,7070,0.27
100442,2/21/2025,8,1,7,Store,2,6055,0.28
100443,1/31/2023,117,24,11,Store,2,1012,0.26
100444,7/29/2023,74,38,4,Online,4,5494,0.04
100445,9/21/2025,31,24,11,Store,5,4453,0.25
100446,12/19/2025,15,7,6,Online,3,5401,0.08
100447,9/19/2024,44,5,10,Online,4,4074,0.16
100448,3/25/2023,6,7,10,Store,3,6208,0.17
100449,9/10/2024,7,38,6,Online,3,3576,0.22
100450,9/19/2023,92,16,6,Store,1,3053,0.27
100451,3/18/2026,114,38,7,Online,1,1181,0.21
100452,5/1/2025,23,5,1,Online,5,2204,0.16
100453,2/10/2023,10,35,6,Store,3,2886,0.06
100454,7/11/2024,78,18,9,Online,1,1705,0.18
100455,2/23/2023,48,17,8,Store,2,4446,0.28
100456,1/10/2026,41,6,3,Store,4,642,0.03
100457,2/16/2025,80,23,4,Store,3,4580,0.28
100458,3/4/2025,90,32,1,Online,1,1986,0.16
100459,10/17/2023,6,36,9,Store,3,3358,0.01
100460,6/17/2025,37,25,5,Store,2,2708,0.04
100461,9/25/2024,119,29,10,Online,3,4922,0.22
100462,7/4/2024,56,40,11,Online,5,4282,0.21
100463,9/14/2023,26,26,5,Store,1,5121,0.17
100464,3/6/2026,24,28,11,Online,3,3039,0.18
100465,2/23/2026,79,26,5,Online,3,4383,0.26
100466,1/26/2024,70,12,6,Online,2,2334,0.24
100467,9/8/2025,11,1,5,Online,5,1032,0.25
100468,10/9/2024,78,14,9,Store,4,1992,0.19
100469,5/13/2023,88,34,1,Online,1,3544,0.1
100470,7/13/2024,98,9,10,Store,4,6305,0.11
100471,1/11/2025,108,1,11,Store,5,7193,0.17
100472,4/22/2024,98,31,3,Store,4,2002,0.28
100473,6/3/2025,57,1,7,Online,3,4175,0.15
100474,5/15/2025,72,20,10,Online,4,2092,0.2
100475,6/20/2025,58,24,2,Online,2,4696,0.27
100476,4/17/2024,87,34,7,Online,4,4373,
100477,3/3/2023,5,40,5,Online,3,6325,0.04
100478,7/1/2025,69,21,8,Store,3,3869,0.02
100479,12/3/2023,85,15,2,Store,3,6790,0.17
100480,11/29/2023,114,27,2,Online,1,6139,0.08
100481,9/9/2025,98,3,5,Store,3,6443,0.12
100482,3/9/2023,39,24,8,Online,2,1266,0.07
100483,1/13/2026,51,27,1,Online,2,2503,0.02
100484,3/2/2026,65,17,9,Store,3,2788,0.15
100485,1/26/2025,112,25,10,Store,3,4058,0.26
100486,10/8/2024,86,31,8,Store,1,5081,0.1
100487,10/27/2025,89,24,11,Online,1,6531,0.16
100488,5/19/2025,30,24,2,Online,4,933,0.11
100489,2/22/2023,2,14,10,Store,5,5657,0.06
100490,2/22/2024,99,18,11,Store,3,2709,0.15
100491,12/8/2025,112,16,10,Store,4,6674,0.13
100492,5/3/2023,102,32,2,Online,3,3267,0.02
100493,5/24/2024,72,15,1,Store,1,7114,0.05
100494,9/2/2025,91,31,3,Store,5,1908,0.19
100495,8/14/2024,82,38,9,Store,1,890,0.11
100496,6/22/2025,97,14,10,Store,1,7254,0.28
100497,6/7/2023,27,9,2,Store,3,4227,0.15
